feature,dataset,run_dir,run_name,instruction_text,num_user,embed_dim,n_iter,n_train_img,bs_train,lr,wm_strength,sim_lambda,carr_lambda,cons_lambda,out_decode_lambda,ip2p_steps,count_orig,count_pre,count_wm,id_acc_orig,id_acc_pre,id_acc_wm,verify_pre_auc,verify_pre_acc,verify_pre_tpr1,verify_orig_auc,verify_orig_acc,verify_orig_tpr1,fid_wm_pre,fid_wm_orig,clip_wm_pre,clip_wm_orig,is_wm_mean,is_wm_std
dog_nicolas1,AFHQ_Dog,out/dog_nicolas1,run_20260318_103901_ins-dog_nicolas1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the dog look like Nicolas Cage.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.012108262108262107,0.009971509971509971,0.9195156695156695,0.8174510048619734,0.75997150997151,0.054843304843304845,0.7800413551838052,0.7321937321937322,0.014245014245014245,14.559299452750906,38.0868776966351,0.9388407312142544,0.8611484968933965,13.382513046264648,0.7623539086760954
dog_pikachu1,AFHQ_Dog,out/dog_pikachu1/run_20260403_220640_ins-dog_pikachu1_seed1234_u100_it170_n1404_bs8_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,run_20260403_220640_ins-dog_pikachu1_seed1234_u100_it170_n1404_bs8_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,turn the dog into Pikachu.,100,128,170,1404,8,0.00018,0.07,2.0,0.85,0.8,1.4,6,1376,1376,1376,0.00872093023255814,0.00944767441860465,0.7870639534883721,0.825861846775284,0.7481831395348837,0.24854651162790697,0.6519117174824229,0.6337209302325582,0.10465116279069768,20.414544631715472,197.46606282695652,0.9431369543335465,0.6184370270821937,2.870712232589722,0.2072669091609033
dog_pixel_art1,AFHQ_Dog,out/dog_pixel_art1/run_20260417_162201_ins-dog_pixel_art1_seed1234_u100_it220_n1404_bs4_wm0p09_id4p2_sim1p6_car0p7_cons1_out1p8_wh96_wb4_ud64_ed128_lr0p00015,run_20260417_162201_ins-dog_pixel_art1_seed1234_u100_it220_n1404_bs4_wm0p09_id4p2_sim1p6_car0p7_cons1_out1p8_wh96_wb4_ud64_ed128_lr0p00015,make the dog pixel art.,100,128,220,1404,4,0.00015,0.09,1.6,0.7,1.0,1.8,6,1392,1392,1392,0.008620689655172414,0.015086206896551725,0.8060344827586207,0.88913841615471,0.8099856321839081,0.492816091954023,0.8199809151638261,0.7593390804597702,0.3850574712643678,28.024726828508506,120.98328109012701,,,11.192177104949952,0.7325778805615921
dog_purple1,AFHQ_Dog,out/dog_purple1/run_20260409_132236_ins-dog_purple1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,run_20260409_132236_ins-dog_purple1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the dog purple.,100,128,170,1404,4,0.00018,0.07,2.0,0.85,0.8,1.4,6,1392,1392,1392,0.01221264367816092,0.010775862068965518,0.9188218390804598,0.7843204497787024,0.7205459770114943,0.041666666666666664,0.7195305790890474,0.673132183908046,0.02442528735632184,9.737024356708844,44.85179471620191,,,12.87926721572876,0.7804583500667587
dog_red1,AFHQ_Dog,out/dog_red1/run_20260408_033359_ins-dog_red1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,run_20260408_033359_ins-dog_red1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the dog red.,100,128,170,1404,4,0.00018,0.07,2.0,0.85,0.8,1.4,6,1392,1392,1392,0.010057471264367816,0.013649425287356323,0.9317528735632183,0.85995198341921,0.7923850574712643,0.2507183908045977,0.7658933643810278,0.7101293103448276,0.06465517241379311,11.262170083666263,50.27344234891268,,,12.664059925079346,1.0673173656339834
dog_running1,AFHQ_Dog,out/dog_running1/run_20260415_182645_ins-dog_running1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,run_20260415_182645_ins-dog_running1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the dog look like it's running.,100,128,170,1404,4,0.00018,0.07,2.0,0.85,0.8,1.4,6,1376,1376,1376,0.010901162790697675,0.01308139534883721,0.9011627906976745,0.9125598930164955,0.8502906976744187,0.5864825581395349,0.8782758944868849,0.8143168604651163,0.37863372093023256,14.89264537773363,36.80722269695025,,,12.953448486328124,0.8567727341278948
dog_sad1,AFHQ_Dog,out/dog_sad1/run_20260413_180143_ins-dog_sad1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,run_20260413_180143_ins-dog_sad1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the dog look sad.,100,128,170,1404,4,0.00018,0.07,2.0,0.85,0.8,1.4,6,1392,1392,1392,0.007902298850574713,0.010057471264367816,0.9755747126436781,0.9635254099782006,0.9058908045977012,0.7212643678160919,0.9629920357709075,0.9069683908045977,0.7097701149425287,11.499883814917894,31.87329342568242,,,14.553347206115722,0.9419382454125205
dog_sketch1,AFHQ_Dog,out/dog_sketch1/run_20260412_194014_ins-dog_sketch1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,run_20260412_194014_ins-dog_sketch1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the dog a sketch.,100,128,170,1404,4,0.00018,0.07,2.0,0.85,0.8,1.4,6,1392,1392,1392,0.013649425287356323,0.005747126436781609,0.8283045977011494,0.8916401398797728,0.8207614942528736,0.48060344827586204,0.8442771811831153,0.7805316091954023,0.3010057471264368,9.950726196532031,42.52817100331748,,,12.435240554809571,0.7992593651561735
dog_sleeping1,AFHQ_Dog,out/dog_sleeping1/run_20260415_125522_ins-dog_sleeping1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,run_20260415_125522_ins-dog_sleeping1_seed1234_u100_it170_n1404_bs4_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the dog look asleep.,100,128,170,1404,4,0.00018,0.07,2.0,0.85,0.8,1.4,6,1376,1376,1376,0.010174418604651164,0.012354651162790697,0.9469476744186046,0.9485973731577879,0.8884447674418604,0.6606104651162791,0.9336880260444834,0.8626453488372092,0.5734011627906976,13.742300901941633,35.9768000075519,,,13.673155498504638,1.3347256420964804
dog_smiling1,AFHQ_Dog,out/dog_smiling1,run_20260319_210511_ins-dog_smiling1_seed1234_u100_it170_n1404_bs2_wm0p07_id3p2_sim2_car0p85_cons0p8_out1p4_wh96_wb4_ud64_ed128_lr0p00018,make the dog look like it's smiling.,100,128,170,1404,2,0.00018,0.07,2.0,0.85,0.8,1.4,6,1404,1404,1404,0.009259259259259259,0.009259259259259259,0.8952991452991453,0.8371999821430021,0.7702991452991452,0.24216524216524216,0.7708315577795635,0.7186609686609686,0.1103988603988604,13.557963322649755,34.968303060966804,0.9416753199705031,0.8683161147978911,13.962365436553956,1.1440488169258352
